"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Josh Colosimo","NO",13,2006-01-13,2006,"6.02",200,"C","Flint Firebirds",2,2,0,2,1,3,0,0,0,0,0,0,0,0,10,1
"Tyler Hopkins","NO",16,2007-01-23,2007,"6.01",197,"C","Kingston Frontenacs",2,2,0,2,1,2,1,0,1,0,0,0,0,0,2,1
"Adam Novotný","NO",16,2007-11-13,2007,"6.01",204,"LW","Peterborough Petes",2,2,0,2,1,-1,1,0,1,0,0,0,0,0,2,1
"Rene Van Bommel","NO",55,2006-05-14,2006,"5.11",181,"C","London Knights",2,2,0,2,1,3,0,0,0,0,0,0,0,0,2,1
"Lirim Amidovski","NO",29,2006-12-22,2006,"6.01",175,"RW","North Bay Battalion",3,2,0,2,0.67,-1,2,0,2,0,0,0,0,0,2,1
"Cole Cooksey","NO",22,2005-02-18,2005,"5.10",179,"LW","Niagara IceDogs",4,2,0,2,0.5,1,0,0,0,0,0,0,0,0,0,1
"Bode Stewart","NO",71,2006-02-09,2006,"6.01",190,"LW","Barrie Colts",4,2,0,2,0.5,-2,1,0,1,0,0,0,0,0,6,1
"Nicholas Sykora","NO",24,2007-05-24,2007,"6.00",177,"LW","Owen Sound Attack",4,2,0,2,0.5,3,1,0,1,0,0,0,0,1,2,1
"Ryan Chamberlain","NO",20,2008-04-22,2008,"6.01",190,"LW","Brantford Bulldogs",5,2,0,2,0.4,4,0,0,0,0,0,0,0,0,0,1
"Brooks Rogowski","NO",10,2008-06-24,2008,"6.07",238,"RW","Oshawa Generals",5,2,0,2,0.4,-7,1,0,1,0,0,0,0,0,2,1
"Arseny Pronin","NO",20,2007-05-16,2007,"6.02",198,"LW","North Bay Battalion",6,2,0,2,0.33,-3,1,0,1,0,0,0,1,0,7,1
"Jack Nesbitt","NO",71,2007-01-12,2007,"6.04",189,"C","Windsor Spitfires",1,1,1,2,2,2,1,0,1,0,0,0,0,0,2,1
"Braidy Wassilyn","NO",66,2008-05-28,2008,"6.00",194,"LW","Niagara IceDogs",1,1,1,2,2,3,0,0,0,1,0,1,0,0,0,1
